epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.65357,1.35963,4.03836,1.19063,0.19395,0.19452,0.11108,0.07394,1.05069,3.4438,1.11549,0.09905,5e-05,5e-05
2,5.40894,1.10965,3.48992,1.10579,0.16058,0.55632,0.20409,0.12954,1.14487,14.2236,1.12217,0.09715,0.00015,0.00015
3,7.31227,1.01296,2.84051,1.13099,0.32975,0.48518,0.21769,0.1414,1.30855,27.7172,1.16223,0.09525,0.000249998,0.000249998
4,9.32432,0.99909,2.46031,1.09503,0.09719,0.46656,0.19594,0.13756,1.09633,22.581,1.06204,0.09335,0.000349992,0.000349992
5,11.3166,0.99595,2.22183,1.0287,0.13807,0.70093,0.25082,0.17151,1.22329,21.0386,1.12476,0.09145,0.000449982,0.000449982
6,13.6164,0.91449,2.02277,1.01114,0.22086,0.41136,0.24515,0.17743,1.2346,27.6995,1.24172,0.08955,0.000549966,0.000549966
7,15.6787,0.94245,2.00398,1.02467,0.24149,0.46694,0.2584,0.19504,1.02089,27.9852,1.10908,0.0876499,0.000649943,0.000649943
8,17.9837,0.91261,1.9557,1.02283,0.36393,0.43298,0.21668,0.16295,1.01986,28.4563,1.14847,0.0857499,0.00074991,0.00074991
9,19.6776,0.9427,1.75078,1.05925,0.33293,0.49898,0.28888,0.22419,1.00218,34.576,1.16893,0.0838499,0.000849867,0.000849867
10,21.4272,0.88665,1.69083,1.05022,0.26607,0.37053,0.30654,0.22943,1.08753,31.5911,1.24909,0.0819498,0.000949812,0.000949812
11,23.0918,0.83968,1.57276,0.96541,0.1952,0.42289,0.21793,0.16141,1.15077,22.651,1.29381,0.0800497,0.00104974,0.00104974
12,24.6525,0.91321,1.616,1.02501,0.13365,0.61913,0.23355,0.17953,1.05149,21.4965,1.2361,0.0781497,0.00114966,0.00114966
13,26.2276,0.90571,1.62872,1.02518,0.17909,0.72183,0.27899,0.19229,1.09001,20.4314,1.26881,0.0762496,0.00124956,0.00124956
14,28.2884,1.01609,1.59469,1.102,0.18102,0.62866,0.31454,0.20662,1.12505,14.4657,1.29038,0.0743494,0.00134944,0.00134944
15,29.7533,0.91949,1.57763,1.00416,0.18542,0.43337,0.21869,0.14599,1.00467,16.0186,1.22645,0.0724493,0.00144931,0.00144931
16,31.2307,0.97446,1.55823,1.08862,0.174,0.41808,0.15301,0.10096,1.07487,32.8415,1.27431,0.0705491,0.00154915,0.00154915
17,32.6816,0.94362,1.45796,1.03061,0.20089,0.59168,0.18775,0.13096,1.13341,40.1369,1.31252,0.068649,0.00164897,0.00164897
18,34.1008,0.86939,1.43595,1.00609,0.19657,0.591,0.20525,0.1381,1.10292,33.9048,1.27816,0.0667488,0.00174876,0.00174876
19,35.5781,0.93411,1.41881,1.06221,0.27932,0.48358,0.25993,0.18083,1.11274,79.1771,1.24921,0.0648485,0.00184854,0.00184854
20,37.0437,0.93412,1.31297,1.01356,0.12674,0.4591,0.17803,0.11737,1.26563,306.93,1.38123,0.0629483,0.00194828,0.00194828
21,38.4584,0.96061,1.43403,1.1224,0.14674,0.48362,0.21454,0.13621,1.44755,531.922,1.55765,0.061048,0.002048,0.002048
22,39.9161,0.91873,1.33921,1.0346,0.16644,0.22987,0.14021,0.08786,1.35803,923.782,1.47887,0.0591477,0.00214768,0.00214768
23,41.3445,0.92956,1.34002,1.04224,0.06469,0.26082,0.06062,0.03584,1.93813,2962.33,2.41748,0.0572473,0.00224734,0.00224734
24,42.8338,0.99978,1.33818,1.03441,0.10082,0.07334,0.05524,0.01122,2.91623,9161.38,8.47044,0.055347,0.00234696,0.00234696
25,44.4046,0.94183,1.33076,1.05642,3e-05,0.00526,2e-05,0,3.10146,29406.1,28.7258,0.0534466,0.00244655,0.00244655
26,45.8658,1.01472,1.376,1.06929,0.00015,0.02833,0.00012,5e-05,3.44769,70914.2,90.5988,0.0515461,0.00254611,0.00254611
27,47.297,0.95182,1.27659,1.05881,4e-05,0.02,3e-05,1e-05,3.57738,72481.5,102.19,0.0496456,0.00264563,0.00264563
28,48.7488,0.79537,1.13419,0.9937,4e-05,0.02,3e-05,1e-05,3.57738,72481.5,102.19,0.0477451,0.00274511,0.00274511
29,50.126,0.90944,1.16176,1.05084,2e-05,0.01333,2e-05,0,3.5163,56413.5,80.3499,0.0458445,0.00284455,0.00284455
30,51.9684,0.89644,1.10907,1.02567,6e-05,0.03333,5e-05,1e-05,3.59462,59146.3,91.8336,0.0439439,0.00294394,0.00294394
31,53.4009,0.87034,1.10497,0.99495,6e-05,0.03333,5e-05,1e-05,3.59462,59146.3,91.8336,0.0420433,0.0030433,0.0030433
32,54.7716,0.9188,1.18462,1.0344,0.00051,0.02386,0.0003,8e-05,3.79002,97250.2,133.012,0.0401426,0.00314261,0.00314261
33,56.1657,0.92864,1.20233,1.05283,4e-05,0.02,3e-05,1e-05,4.41847,87633.9,1681.8,0.0382419,0.00324188,0.00324188
34,57.5394,0.92377,1.38152,1.06487,4e-05,0.02,3e-05,1e-05,4.41847,87633.9,1681.8,0.0363411,0.0033411,0.0033411
35,58.9867,0.81913,1.14591,0.98569,0,0,0,0,4.51881,78295.2,1090.12,0.0344403,0.00344027,0.00344027
36,60.4541,0.93648,1.19491,1.08691,0,0,0,0,4.88592,155263,918.334,0.0325394,0.00353939,0.00353939
37,61.8788,0.91547,1.08351,1.03784,0,0,0,0,4.88592,155263,918.334,0.0306385,0.00363846,0.00363846
38,63.2943,0.87178,1.06534,1.09833,0,0,0,0,4.86962,167181,789.345,0.0287375,0.00373747,0.00373747
39,64.7091,0.86676,1.13342,1.03083,0,0,0,0,4.66083,129114,734.985,0.0268364,0.00383644,0.00383644
40,66.1108,0.88826,1.1617,1.03132,0,0,0,0,4.66083,129114,734.985,0.0249353,0.00393534,0.00393534
41,67.5035,0.89757,1.12705,1.05724,0,0,0,0,4.5375,99107.3,884.21,0.0230342,0.00403419,0.00403419
42,68.8852,0.85461,1.02124,1.01401,2e-05,0.00833,1e-05,0,3.82159,69388.7,756.24,0.021133,0.00413298,0.00413298
43,70.3035,0.93322,1.15472,1.03662,2e-05,0.00833,1e-05,0,3.82159,69388.7,756.24,0.0192317,0.00423171,0.00423171
44,71.7225,0.92011,1.16757,1.06172,0,0,0,0,3.88698,43319.4,884.961,0.0173304,0.00433038,0.00433038
45,73.1282,0.83778,1.03128,1.01723,0,0,0,0,3.88698,43319.4,884.961,0.015429,0.00442899,0.00442899
46,74.7629,0.90512,1.12024,1.05451,0.00233,0.01333,0.00149,0.00028,3.7645,19375.8,261.84,0.0135275,0.00452753,0.00452753
47,76.1745,0.85825,0.98219,1.04223,0.00233,0.01333,0.00149,0.00028,3.7645,19375.8,261.84,0.011626,0.00462601,0.00462601
48,77.6012,0.91243,1.02203,1.08195,0.00086,0.01333,0.00055,8e-05,3.89184,11029.3,52.3159,0.00972442,0.00472442,0.00472442
49,79.0277,0.91172,1.10632,1.01339,0.00086,0.01333,0.00055,8e-05,3.89184,11029.3,52.3159,0.00782276,0.00482276,0.00482276
