epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.029,1.50227,1.99438,1.56378,0.25571,0.27181,0.21464,0.06111,2.75532,3.05137,2.27376,0.0810304,0.0009984,0.0009984
2,254.381,0.63456,1.05907,0.99877,0.12426,0.13164,0.08294,0.02022,3.41842,3.39117,3.03619,0.0620304,0.0019984,0.0019984
3,377.302,0.49651,0.89809,0.93631,0.2052,0.21203,0.12569,0.02536,3.50653,2.99571,3.33672,0.0430304,0.00299837,0.00299837
4,499.926,0.42526,0.78149,0.90604,0.30749,0.26858,0.22595,0.04746,3.25161,2.58249,3.12277,0.0240303,0.00399831,0.00399831
5,622.46,0.38745,0.71718,0.89295,0.16109,0.19328,0.1232,0.02672,3.66316,2.59556,3.73897,0.0050302,0.0049982,0.0049982
6,744.945,0.3624,0.66543,0.88452,0.39193,0.12945,0.1575,0.03616,3.26043,4.36589,3.0134,0.00499969,0.00499969,0.00499969
7,867.922,0.3467,0.64241,0.87993,0.51819,0.24398,0.26656,0.05762,2.99003,3.46238,2.72552,0.00499956,0.00499956,0.00499956
8,991.247,0.33963,0.61969,0.87664,0.36346,0.17634,0.21425,0.04802,3.11789,3.83058,2.93117,0.0049994,0.0049994,0.0049994
9,1114.73,0.3248,0.59839,0.8697,0.23759,0.26579,0.19117,0.0381,3.48334,2.70193,3.73347,0.00499922,0.00499922,0.00499922
10,1238.37,0.31395,0.58016,0.86677,0.37237,0.20152,0.18452,0.04309,3.42714,2.972,3.33132,0.00499901,0.00499901,0.00499901
11,1362.26,0.30879,0.57242,0.86528,0.14209,0.14954,0.09489,0.01762,3.9203,2.92192,4.50045,0.00499878,0.00499878,0.00499878
12,1486.35,0.30067,0.55603,0.86433,0.34329,0.27901,0.23958,0.05346,3.35105,2.43644,3.74507,0.00499852,0.00499852,0.00499852
13,1610.47,0.3009,0.55469,0.86647,0.42883,0.34108,0.36809,0.09424,2.94992,2.97195,2.84101,0.00499824,0.00499824,0.00499824
14,1734.95,0.29455,0.54214,0.86383,0.42262,0.34054,0.36152,0.09845,2.92789,2.88198,2.79238,0.00499794,0.00499794,0.00499794
15,1859.41,0.29035,0.53424,0.86384,0.24267,0.18892,0.13353,0.0238,3.88074,2.47708,5.08159,0.00499761,0.00499761,0.00499761
16,1984.04,0.29023,0.53045,0.86371,0.2315,0.25943,0.15607,0.03099,3.84605,2.36529,4.2459,0.00499725,0.00499725,0.00499725
17,2108.66,0.28614,0.52388,0.86357,0.26879,0.24575,0.16326,0.02916,3.55324,2.3164,4.61659,0.00499687,0.00499687,0.00499687
